riskazienda;dtrisk;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;D1;D2;D3;D4;D5;E1;E2;E3;E4;F1;F2;F3;F4
219BG056;17532;5;5;0;5;5;0;0;0;0;0;0;5;5;1;3;3;0;0;2;2;2;0;0;3;1;1;1;1;0;0;0;0
011BG001;17532;5;1;0;0;1;1;0;0;3;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
207BG002;17532;5;1;8;4;2;0;2;0;9;9;9;1;1;1;3;1;1;0;1;2;1;1;0;1;2;1;0;0;0;0;0;0
113BG012;17532;4;1;1;0;2;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
038BG006;17532;4;1;1;0;1;0;1;0;0;1;0;1;1;1;1;1;0;0;1;2;0;0;0;1;1;1;1;1;0;0;20;0
076BG013;17532;6;5;0;5;4;0;3;1;0;4;0;0;5;0;4;3;1;0;1;0;0;0;0;0;2;2;1;1;0;0;0;0
053BG001;17532;10;6;8;10;1;0;5;5;0;2;6;9;1;5;0;0;0;0;3;2;2;0;0;1;1;0;0;1;0;0;0;0
183BG038;17532;10;8;6;10;6;6;6;6;2;1;0;9;2;6;3;1;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0
133BG034;17532;8;4;0;7;2;0;1;0;9;9;0;0;0;2;1;0;0;0;1;3;1;0;0;1;0;1;0;0;0;0;0;0
133BG027;17532;4;4;0;8;4;0;10;10;0;0;0;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0
114BG005;17532;5;1;0;4;1;0;5;0;1;0;0;0;1;0;6;2;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0
157BG006;17532;9;8;0;8;6;0;2;1;9;9;9;5;2;1;1;1;0;0;4;1;1;0;0;3;1;0;1;0;0;0;0;0
245BG026;17532;4;1;0;0;1;0;2;0;0;4;0;0;1;0;6;6;0;0;1;1;1;0;0;1;0;0;0;1;0;0;20;0
245BG010;17532;9;6;0;0;5;0;2;0;1;0;0;0;0;2;0;0;0;0;1;0;1;0;0;1;0;2;0;1;0;0;20;0
053BG028;17532;2;1;0;0;1;0;4;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
020BG003;17532;6;7;6;5;4;1;7;0;0;5;7;0;0;0;6;2;3;0;0;3;2;3;0;0;1;0;0;0;0;0;0;0
133BG041;17532;9;8;6;7;7;0;1;0;0;7;8;5;2;3;0;0;0;0;2;0;0;0;0;2;1;1;1;2;0;0;0;38
016BG009;17532;8;5;5;9;3;0;0;0;0;0;9;1;1;1;6;5;6;0;0;1;1;0;0;0;1;1;0;0;0;0;0;34
087BG002/1;17532;8;5;5;8;3;0;3;3;0;2;3;3;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
053BG053;17532;8;6;0;6;5;2;5;4;4;4;1;2;5;5;2;1;1;0;0;2;1;1;0;0;3;1;0;0;0;11;22;0
053BG015;17532;4;2;0;1;3;0;4;1;0;4;0;0;3;3;2;0;0;0;1;0;0;0;0;1;0;2;0;1;0;0;0;0
