"codaz","dt","vetlp","vetuff","numconf","numcamp","numpos","pt","prev","anno"
"000AA000",2018-06-27,"PIPPO","ZORRO",1235,12,1,"PT1",8.33,2018
"133BG027/1",2018-05-08,"FACCHI","ANDRIOLETTI",130161,129,3,"PT",2.33,2018
"016BG009/1",2018-05-07,"GAMBA","SALVOLDI",125978,140,2,"PT",1.43,2018
"219BG056/2",2018-05-07,"CAPELLI ","OGGIONI",125892,19,0,"PT",0,2018
"183BG010/1",2018-05-04,"PELIZZARI CARLO","",122966,270,NA,"PT",NA,2018
"096BG003/1",2018-05-04,"","IURATO ALFIO",122799,120,0,"PT",0,2018
"053BG046/3",2018-04-28,"FACCHI","TESTA FRANCESCO",17717,81,NA,"PT",NA,2018
"020BG007/1",2018-04-17,"ARNOLDI BERNARDO","FERRI",106789,109,0,"PT",0,2018
"076BG021",2018-04-12,"ARNOLDI BERNARDO","ANDRIOLETTI",102276,244,2,"PT",0.82,2018
"133BG017/1",2018-04-11,"FACCHI","ANDRIOLETTI",101176,397,2,"PT",0.5,2018
"177BG047/1",2018-04-11,"LISSANA","BONAZZA",103396,81,0,"PT",0,2018
"114BG005/3",2018-04-06,"FACCHI","MOLERI",95299,216,0,"PT",0,2018
"113BG008/4",2018-04-05,"ARNOLDI BERNARDO","ANDRIOLETTI",94220,259,1,"PT",0.39,2018
"172BG003/1",2018-03-29,"FACCHI","IURATO",88432,278,1,"PT",0.36,2018
"028BG022",2018-03-29,"","FACCHI",88437,12,1,"PT",8.33,2018
"076BG003/1",2018-03-27,"FACCHI","ANDRIOLETTI",85598,162,NA,"PT",NA,2018
"079BG022/1",2018-03-27,"LONGHI","CONSONNI",84680,35,1,"PT",2.86,2018
"053BG029/1",2018-03-27,"FACCHI","",85581,125,NA,"PT",NA,2018
"019BG002/1",2018-03-27,"","ALLONI ",87241,63,0,"PT",0,2018
"122BG005/1",2018-03-26,"","ALLONI",85517,63,1,"PT",1.59,2018
"101BG015/1",2018-03-26,"","ALLONI/ALBRICI",85561,63,0,"PT",0,2018
"101BG028/1",2018-03-23,"","ALLONI",85549,63,0,"PT",0,2018
"177BG014/1",2018-03-22,"BONISSI LUIGI","BONAZZA",81492,114,1,"PT",0.88,2018
"101BG045/3",2018-03-20,"","ALLONI",78255,177,6,"PT",3.39,2018
"062BG008/1",2018-03-16,"FACCHI","MOLERI",74319,46,0,"PT",0,2018
"083BG002/1",2018-03-16,"","ANDRIOLETTI",74818,133,0,"PT",0,2018
"142BG017/1",2018-03-16,"","ALLONI",74905,63,0,"PT",0,2018
"062BG009/1",2018-03-16,"FACCHI","MOLERI",74291,94,0,"PT",0,2018
"212BG022/3",2018-03-13,"ARNOLDI BERNARDO","",70885,97,0,"PT",0,2018
"101BG044/1",2018-03-13,"DANESI GIORGIA","ALLONI",74831,285,2,"PT",0.7,2018
"101BG044/1",2018-03-13,"DANESI GIORGIA","ALLONI",74831,383,2,"PT",0.52,2018
"087BG029/6",2018-03-12,"FACCHI","FERRI",72819,6,0,"PT",0,2018
"019BG001/1",2018-03-12,"","ALLONI",70813,62,4,"PT",6.45,2018
"133BG034",2018-03-07,"FACCHI","ANDRIOLETTI",64449,257,1,"PT",0.39,2018
"177BG009/1",2018-03-07,"ARNOLDI BERNARDO","BONAZZA",65527,154,1,"PT",0.65,2018
"245BG010/1",2018-02-27,"FACCHI","",57441,132,3,"PT",2.27,2018
"011BG001/1",2018-02-27,"VITALI","IURATO",57467,138,NA,"PT",NA,2018
"113BG003/3",2018-02-21,"FACCHI","ANDRIOLETTI",50694,80,4,"PT",5,2018
"207BG002/1",2018-02-21,"FACCHI","SALVOLDI",50635,137,3,"PT",2.19,2018
"122BG008/1",2018-02-21,"","ALLONI",54336,62,0,"PT",0,2018
"010BG003/2",2018-02-20,"VALOTA","ALLONI",51566,63,1,"PT",1.59,2018
"122BG009/1",2018-02-20,"","ALLONI",50445,62,2,"PT",3.23,2018
"101BG009/1",2018-02-20,"","ALLONI",51555,62,NA,"PT",NA,2018
"076BG004",2018-02-19,"DANESI GIORGIA","ANDRIOLETTI",48634,52,0,"PT",0,2018
"101BG040/1",2018-02-16,"","ALLONI",47394,62,0,"PT",0,2018
"038BG006",2018-02-16,"FACCIOLONGO ","POMA",47389,47,0,"PT",0,2018
"113BG012/1",2018-02-16,"FACCHI ","ANDRIOLETTI",47415,213,NA,"PT",NA,2018
"133BG035/1",2018-02-13,"FACCHI","ANDRIOLETTI",43669,90,0,"PT",0,2018
"141BG005/1",2018-02-13,"ARNOLDI BERNARDO","PELLICCIOLI",42902,126,0,"PT",0,2018
"043BG001/2",2018-02-06,"COPPOLINO","MOLERI",36640,39,0,"PT",0,2018
"053BG019/4",2018-02-06,"","LEONI LORENZO",40572,49,5,"PT",10.2,2018
"043BG013/1",2018-02-05,"COPPOLINO","LINGUANTI",35294,54,2,"PT",3.7,2018
"047BG002/2",2018-01-29,"","OGGIONI",29708,53,NA,"PT",NA,2018
"018BG011/1",2017-12-21,"COPPOLINO","MOLERI",363719,252,1,"PT",0.4,2017
"011BG004/1",2017-12-20,"ARNOLDI BERNARDO","IURATO",362167,115,3,"PT",2.61,2017
"219BG035/1",2017-12-19,"FACCHI","OGGIONI",359962,145,5,"PT",3.45,2017
"207BG011",2017-12-14,"PIROVANO","SALVOLDI",353430,93,1,"PT",1.08,2017
"010BG017/1",2017-12-13,"","ALLONI",352751,63,0,"PT",0,2017
"042BG012/3",2017-12-11,"COPPOLINO","MOLERI",347108,49,0,"PT",0,2017
"053BG015/1",2017-11-29,"FACCHI","LEONI",333334,306,0,"PT",0,2017
"245BG023/5",2017-11-29,"","SANTAMBROGIO",333324,55,1,"PT",1.82,2017
"097BG018",2017-11-18,"PELIZZARI CARLO","0",319517,90,3,"PT",3.33,2017
"097BG021",2017-11-18,"PELIZZARI CARLO","",319542,60,0,"PT",0,2017
"087BG002",2017-11-17,"PELIZZARI CARLO","",319504,159,1,"PT",0.63,2017
"120BG010/1",2017-11-16,"FACCHI","",318254,88,1,"PT",1.14,2017
"122BG008/1",2017-11-15,"0","ALLONI",319119,229,NA,"PT",NA,2017
"245BG002/1",2017-11-13,"FACCIOLONGO ","",312133,64,0,"PT",0,2017
"087BG027/1",2017-11-13,"PELIZZARI CARLO","FERRI",312152,161,NA,"PT",NA,2017
"011BG005/1",2017-11-11,"CAPELLI","IURATO",312225,45,0,"PT",0,2017
"",2017-11-10,"","ARSUFFI",314093,200,4,"PT",2,2017
"105BG010/2",2017-11-07,"","LEONI",307538,61,0,"PT",0,2017
"105BG012/1",2017-11-03,"DANESI GIORGIA","",301634,93,1,"PT",1.08,2017
"219BG065",2017-10-28,"RIZZI ","",295460,24,0,"PT",0,2017
"018BG005/1",2017-10-26,"","LINGUANTI",293051,60,0,"PT",0,2017
"113BG012/1",2017-10-19,"LINGUANTI","",285195,106,3,"PT",2.83,2017
"053BG001",2017-09-29,"","LEONI",263382,203,7,"PT",3.45,2017
"133BG015/1",2017-09-26,"ARNOLDI BERNARDO","ANDRIOLETTI",267747,305,0,"PT",0,2017
"212BG038/2",2017-09-06,"COPPOLINO","MOLERI",240570,98,1,"PT",1.02,2017
"141BG008/3",2017-07-18,"FACCHI","CANEVALI",196072,39,0,"PT",0,2017
"141BG008/1",2017-07-18,"FACCHI","CANEVALI",196083,105,3,"PT",2.86,2017
"029BG006/1",2017-07-07,"","IURATO",195179,49,0,"PT",0,2017
"157BG019/2",2017-07-05,"FACCHI","",186211,61,0,"PT",0,2017
"157BG006/1",2017-07-04,"COPPOLINO","CANEVALI",184374,NA,NA,"PT",NA,2017
"016BG009/1",2017-07-03,"GAMBA","SALVOLDI",183102,62,NA,"PT",NA,2017
"198BG028/1",2017-07-03,"COPPOLINO","LINGUANTI",183224,NA,NA,"PT",NA,2017
"133BG041/1",2017-06-30,"FACCHI","ANDRIOLETTI",183108,NA,NA,"PT",NA,2017
"133BG027/1",2017-06-28,"FACCHI","ANDRIOLETTI",179802,105,0,"PT",0,2017
"020BG003/1",2017-06-27,"FACCHI","",179805,122,0,"PT",0,2017
"245BG026",2017-06-12,"FACCHI","ZAMBETTI",167012,171,NA,"PT",NA,2017
"072BG025/1",2017-06-09,"FACCHI","",162535,291,5,"PT",1.72,2017
"120BG005/1",2017-06-09,"FACCHI","GATTI",162492,39,0,"PT",0,2017
"101BG044/1",2017-06-07,"DANESI GIORGIA","ALLONI",160534,59,0,"PT",0,2017
"028BG001/1",2017-06-06,"FACCHI","",158464,62,1,"PT",1.61,2017
"013BG008/1",2017-06-06,"DONATI ADRIANO","OGGIONI",158383,71,1,"PT",1.41,2017
"219BG003/1",2017-05-24,"RIZZI ","",147160,19,0,"PT",0,2017
"083BG006/1",2017-05-09,"","ANDRIOLETTI",138254,NA,0,"PT",NA,2017
"198BG030/1",2017-05-08,"FORESTI FABIO","LINGUANTI",130967,34,0,"PT",0,2017
"183BG017/1",2017-05-05,"COPPOLINO","",126569,138,0,"PT",0,2017
"133BG017/1",2017-05-02,"FACCHI","ANDRIOLETTI",135305,NA,NA,"PT",NA,2017
"177BG010/1",2017-05-02,"","BONAZZA",132787,81,5,"PT",6.17,2017
"076BG021",2017-04-28,"ARNOLDI BERNARDO","ANDRIOLETTI",119802,229,0,"PT",0,2017
"087BG029/6",2017-04-28,"FACCHI","FERRI",120835,NA,1,"PT",NA,2017
"113BG008/4",2017-04-27,"ARNOLDI BERNARDO","ANDRIOLETTI",118566,256,1,"PT",0.39,2017
"219BG046/1",2017-04-20,"RIZZI ","OGGIONI",113852,95,0,"PT",0,2017
"233BG008/1",2017-04-19,"ARNOLDI","IURATO",111155,58,0,"PT",0,2017
"019BG011/1",2017-04-18,"","ALLONI",111471,NA,0,"PT",NA,2017
"183BG010/1",2017-04-14,"PELIZZARI CARLO","FERRI",114736,247,2,"PT",0.81,2017
"183BG163/1",2017-04-12,"","FERRI",108646,6,0,"PT",0,2017
"028BG022",2017-04-12,"","FACCHI",105543,31,0,"PT",0,2017
"093BG070/1",2017-04-11,"","FROSIO",105390,23,0,"PT",0,2017
