"codaz","dt","vetlp","vetuff","numconf","numcamp","numpos","pt"
"087BG012/1",17266,"","Ferri",111420,178,1,"PT"
"018BG005/1",16689,"","Moleri",237419,63,0,"PT2"
"018BG005/1",17077,"","Moleri",271031,64,0,"PT"
"018BG005/1",17465,"","Linguanti",293051,60,0,"PT"
"087BG027/1",16324,"","FERRI",242755,143,0,"PT2"
"097BG004/3",16324,"","FERRI",242744,20,0,"PT2"
"114BG012/1",16875,"Coppolino","Gatti",75225,183,10,"PT0"
"124BG002",16168,"","SCHIVARDI ",96873,14,1,"PT0"
"217BG003/4",16580,"Appiani Arrigo","Bonazza ",158014,136,5,"PT1"
"217BG003/4",16967,"Appiani Arrigo","Bonazza ",169900,63,0,"PT"
"217BG003/5",16580,"Appiani Arrigo","Bonazza ",157913,180,9,"PT0"
"217BG003/5",16967,"Appiani Arrigo","Bonazza ",169900,63,0,"PT"
"122BG005/1",16854,"","Alloni",57061,150,3,"PT1"
"122BG005/1",17248,"","Alloni",85665,126,1,"PT"
"122BG005/1",17616,"","Alloni",85517,63,1,"PT"
"183BG003/7",16990,"PELIZZARI CARLO","",191450,271,3,"PT"
"183BG003/7",16643,"PELIZZARI CARLO","",198576,245,1,"PT1"
"183BG003/7",16275,"PELIZZARI CARLO","",195274,167,7,"PT1"
"183BG010/1",17270,"PELIZZARI CARLO","FERRI",114736,247,2,"PT"
"183BG010/1",17655,"PELIZZARI CARLO","",122966,270,NA,"PT"
"076BG013/1",16157,"FACCHI","",89504,169,19,"PT0"
"076BG013/1",16539,"Facchi","",103192,129,6,"PT1"
"076BG003/1",17220,"Facchi","ANDRIOLETTI",54971,157,NA,"PT"
"076BG003/1",16860,"Facchi","ANDRIOLETTI",60486,103,NA,"PT1"
"076BG003/1",16548,"Facchi","ANDRIOLETTI",111948,103,3,"PT1"
"076BG003/1",17617,"Facchi","ANDRIOLETTI",85598,162,NA,"PT"
"010BG003/2",16129,"Valota","ALLONI",57947,385,26,"PT0"
"010BG003/2",16478,"Valota","ALLONI",42692,356,23,"PT0"
"010BG003/2",16848,"Valota","ALLONI",47016,218,15,"PT0"
"010BG003/2",17219,"Valota","ALLONI",55727,63,2,"PT"
"010BG003/2",17582,"Valota","ALLONI",51566,63,1,"PT"
"245BG002/1",17113,"FACCIOLONGO ","Zambetti",310419,62,0,"PT"
"245BG002/1",16744,"FACCIOLONGO ","Zambetti",297810,62,2,"PT1"
"245BG002/1",17483,"FACCIOLONGO ","",312133,64,0,"PT"
"011BG005/1",16739,"Capelli","IURATO",292920,36,1,"PT1"
"011BG005/1",16367,"","IURATO",287713,63,0,"PT2"
"011BG005/1",17131,"Capelli","IURATO",335171,47,0,"PT"
"011BG005/1",17481,"Capelli","IURATO",312225,45,0,"PT"
"133BG034",16161,"FACCHI","ANDRIOLETTI",86478,150,7,"PT1"
"133BG034",16514,"FACCHI","Andrioletti",79035,218,0,"PT2"
"133BG034",16854,"FACCHI","Andrioletti",50636,169,5,"PT1"
"133BG034",17198,"FACCHI","ANDRIOLETTI",31545,258,NA,"PT"
"133BG034",17597,"FACCHI","ANDRIOLETTI",64449,257,1,"PT"
"113BG003/3",17583,"Facchi","Andrioletti",50694,80,4,"PT"
"113BG003/3",17210,"Facchi","Andrioletti",42318,76,2,"PT"
"113BG003/3",16850,"Facchi","Andrioletti",54123,81,1,"PT1"
"133BG035/1",16853,"facchi","ANDRIOLETTI",57062,90,3,"PT1"
