"riskazienda","dtrisk","item","risk","settore"
"001BG012",2019-03-04,"A1",5,"Sala Parto"
"001BG012",2019-03-15,"A1",5,"Sala Parto"
"001BG012",2019-03-04,"A2",0,"Sala Parto"
"001BG012",2019-03-15,"A2",3,"Sala Parto"
"001BG012",2019-03-04,"A3",4,"Sala Parto"
"001BG012",2019-03-15,"A3",2,"Sala Parto"
"001BG012",2019-03-04,"A4",0,"Sala Parto"
"001BG012",2019-03-15,"A4",0,"Sala Parto"
"001BG012",2019-03-04,"A5",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-15,"A5",3,"Vitelli pre-svezzamento"
"001BG012",2019-03-04,"A6",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-15,"A6",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-04,"A7",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-15,"A7",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-04,"A8",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-15,"A8",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-04,"B1",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-15,"B1",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-04,"B2",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-15,"B2",0,"Manze gravide"
"001BG012",2019-03-04,"B3",0,"Manze gravide"
"001BG012",2019-03-15,"B3",0,"Manze gravide"
"001BG012",2019-03-04,"B4",0,"Manze gravide"
"001BG012",2019-03-15,"B4",0,"Manze gravide"
"001BG012",2019-03-04,"B5",0,"Vacche e tori"
"001BG012",2019-03-15,"B5",0,"Vacche e tori"
"001BG012",2019-03-04,"B6",0,"Vacche e tori"
"001BG012",2019-03-15,"B6",0,"Vacche e tori"
"001BG012",2019-03-04,"C1",0,"Animali acquistati"
"001BG012",2019-03-15,"C1",0,"Animali acquistati"
"001BG012",2019-03-04,"C2",0,"Animali acquistati"
"001BG012",2019-03-15,"C2",0,"Animali acquistati"
"001BG012",2019-03-04,"C3",0,"Sala Parto"
"001BG012",2019-03-15,"C3",0,"Sala Parto"
"001BG012",2019-03-04,"C4",0,"Sala Parto"
"001BG012",2019-03-15,"C4",0,"Sala Parto"
"001BG012",2019-03-04,"C5",0,"Sala Parto"
"001BG012",2019-03-15,"C5",0,"Sala Parto"
"001BG012",2019-03-04,"D1",0,"Sala Parto"
"001BG012",2019-03-15,"D1",0,"Sala Parto"
"001BG012",2019-03-04,"D2",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-15,"D2",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-04,"D3",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-15,"D3",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-04,"D4",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-15,"D4",0,"Vitelli pre-svezzamento"
"001BG012",2019-03-04,"D5",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-15,"D5",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-04,"E1",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-15,"E1",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-04,"E2",0,"Vitelle/Manzette svezzate"
"001BG012",2019-03-15,"E2",0,"Manze gravide"
"001BG012",2019-03-04,"E3",0,"Manze gravide"
"001BG012",2019-03-15,"E3",0,"Manze gravide"
"001BG012",2019-03-04,"E4",0,"Manze gravide"
"001BG012",2019-03-15,"E4",0,"Manze gravide"
"001BG012",2019-03-04,"F1",0,"Vacche e tori"
"001BG012",2019-03-15,"F1",0,"Vacche e tori"
"001BG012",2019-03-04,"F2",0,"Vacche e tori"
"001BG012",2019-03-15,"F2",0,"Vacche e tori"
"001BG012",2019-03-04,"F3",0,"Animali acquistati"
"001BG012",2019-03-15,"F3",0,"Animali acquistati"
"001BG012",2019-03-04,"F4",0,"Animali acquistati"
"001BG012",2019-03-15,"F4",0,"Animali acquistati"
"001BG156",2018-07-27,"A1",6,"Sala Parto"
"001BG156",2018-07-27,"A2",0,"Sala Parto"
"001BG156",2018-07-27,"A3",2,"Sala Parto"
"001BG156",2018-07-27,"A4",0,"Sala Parto"
"001BG156",2018-07-27,"A5",0,"Sala Parto"
"001BG156",2018-07-27,"A6",0,"Sala Parto"
"001BG156",2018-07-27,"A7",0,"Sala Parto"
"001BG156",2018-07-27,"A8",0,"Sala Parto"
"001BG156",2018-07-27,"B1",0,"Vitelli pre-svezzamento"
"001BG156",2018-07-27,"B2",4,"Vitelli pre-svezzamento"
"001BG156",2018-07-27,"B3",0,"Vitelli pre-svezzamento"
"001BG156",2018-07-27,"B4",0,"Vitelli pre-svezzamento"
"001BG156",2018-07-27,"B5",0,"Vitelli pre-svezzamento"
"001BG156",2018-07-27,"B6",0,"Vitelli pre-svezzamento"
"001BG156",2018-07-27,"C1",0,"Vitelle/Manzette svezzate"
"001BG156",2018-07-27,"C2",0,"Vitelle/Manzette svezzate"
